 Iter E0                J                 Vpd               εdσ               tπ                Ud                εpσ               Up                εdδ               Vps               tσps              tσ                εs                εpπ               εdπ               
    0       -3662.260372          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    1       -3662.227741         -0.082330          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    2       -3661.611718         -0.081941         -0.021652          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    3       -3661.297709         -0.085630         -0.030030         -0.044870          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    4       -3661.324780         -0.091873         -0.028536         -0.044006          0.020855          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    5       -3661.374427         -0.069783         -0.029099         -0.041530          0.023456          0.018828          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    6       -3661.400041         -0.070726         -0.028515         -0.043687          0.027222          0.019682          0.010940          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    7       -3661.746220         -0.069093         -0.005422         -0.070850          0.031619          0.016629          0.017934         -0.077174          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    8       -3661.775110         -0.068684         -0.003264         -0.071633          0.029513          0.016906          0.016406         -0.083177         -0.004396          0.000000          0.000000          0.000000          0.000000          0.000000          0.000000
    9       -3664.041525         -0.068055          0.073499         -0.122710          0.019365          0.017161          0.013520         -0.178311         -0.003246          0.087272          0.000000          0.000000          0.000000          0.000000          0.000000
   10       -3664.264213         -0.068686          0.080655         -0.136279          0.017925          0.016735          0.013909         -0.181632         -0.003133          0.098634         -0.012525          0.000000          0.000000          0.000000          0.000000
   11       -3664.295139         -0.068630          0.083707         -0.141312          0.018514          0.017001          0.010378         -0.192603         -0.003283          0.098299         -0.012168         -0.009759          0.000000          0.000000          0.000000
   12       -3659.813626         -0.067016         -0.047495         -0.170043          0.027333          0.016704          0.005932         -0.198493         -0.001739          0.265938         -0.016944         -0.036142         -1.299284          0.000000          0.000000
   13       -3663.665046         -0.067054          0.136822         -0.688562          0.023878          0.016651          0.005261         -0.186694         -0.001673          0.387151         -0.010724         -0.034197         -1.040547         -0.520147          0.000000
   14    -6434182.274278         -0.067042          0.135929     535875.866841          0.023883          0.016650     535876.557403         -0.187130     535876.550462          0.386420         -0.010754         -0.034276     535875.510729     535876.035388     535876.552133

