 Iter   DE_rms     R2      
    0           0.040985          0.000000
    1           0.015807          0.851248
    2           0.013578          0.890243
    3           0.011115          0.926448
    4           0.009257          0.948990
    5           0.006509          0.974782
    6           0.005819          0.979841
    7           0.005073          0.984679
    8           0.004944          0.985447
    9           0.004551          0.987672
   10           0.004511          0.987885
   11           0.004489          0.988005
   12           0.004314          0.988922
   13           0.004291          0.989040
   14           0.004291          0.989040
